date	xml_link	pdf_link	file
04-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-04/toc_unixml/19121204_reps_4_68_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-04/toc_pdf/19121204_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-04/0039%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-04%2F0039%22.html
05-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-05/toc_unixml/19121205_reps_4_68_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-05/toc_pdf/19121205_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-05/0041%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-05%2F0041%22.html
06-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-06/toc_unixml/19121206_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-06/toc_pdf/19121206_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-06/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-06%2F0001%22.html
06-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-06/toc_unixml/19121206_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-06/toc_pdf/19121206_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-06/0045%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-06%2F0045%22.html
09-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-09/toc_unixml/19121209_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-09/toc_pdf/19121209_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-09/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-09%2F0001%22.html
09-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-09/toc_unixml/19121209_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-09/toc_pdf/19121209_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-09/0019%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-09%2F0019%22.html
10-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-10/toc_unixml/19121210_reps_4_69_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-10/toc_pdf/19121210_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-10/0046%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-10%2F0046%22.html
11-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-11/toc_unixml/19121211_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-11/toc_pdf/19121211_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-11/0085%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-11%2F0085%22.html
12-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-12/toc_unixml/19121212_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-12/toc_pdf/19121212_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-12/0073%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-12%2F0073%22.html
13-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-13/toc_unixml/19121213_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-13/toc_pdf/19121213_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-13/0061%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-13%2F0061%22.html
